대학,학년도,전형구분,전형,모집단위,모집,경쟁률,충원,50%cut,70%cut,canon2026
성균관대,2023,학생부종합,학생부종합(계열모집),사회과학계열,84,20.74,376,1.88,2.57,
성균관대,2023,학생부종합,학생부종합(계열모집),인문과학계열,72,17.46,263,2.96,3.31,
성균관대,2023,학생부종합,학생부종합(고른기회),인문,25,10.16,44,2.62,4.52,
성균관대,2023,학생부종합,학생부종합(정원외 특별),"[자연] (자연과학계열, 전자전기공학부, 공학계열, 소프트웨어학, 수학교육, 컴퓨터교육)",5,16.20,7,2.43,3.29,
성균관대,2023,학생부종합,학생부종합(학과모집),경영학,77,9.91,177,2.06,2.89,
성균관대,2023,학생부종합,학생부종합(학과모집),교육학,15,17.20,38,2.17,2.72,
성균관대,2023,학생부종합,학생부종합(학과모집),글로벌경영학,58,10.34,224,2.92,3.12,
성균관대,2023,학생부종합,학생부종합(학과모집),글로벌경제학,45,8.18,136,2.23,2.83,
성균관대,2023,학생부종합,학생부종합(학과모집),글로벌리더학,32,15.09,147,2.79,3.31,
성균관대,2023,학생부종합,학생부종합(학과모집),글로벌바이오메디컬공학,30,16.70,110,3.35,3.95,
성균관대,2023,학생부종합,학생부종합(학과모집),독어독문학,11,12.45,29,3.12,3.39,
성균관대,2023,학생부종합,학생부종합(학과모집),수학교육,15,8.47,30,1.89,2.35,
성균관대,2023,학생부종합,학생부종합(학과모집),컴퓨터교육,15,10.20,38,2.21,3.73,
성균관대,2023,학생부종합,학생부종합(학과모집),한문교육,15,12.87,22,3.45,3.69,
성균관대,2024,학생부교과,학생부교과(학교장추천),경영학과,10,7.0,38,99.30,99.19,
성균관대,2024,학생부교과,학생부교과(학교장추천),교육학과,5,10.2,20,99.33,99.26,
성균관대,2024,학생부교과,학생부교과(학교장추천),국어국문학과,12,7.3,16,98.56,98.52,
성균관대,2024,학생부교과,학생부교과(학교장추천),글로벌경영학과,12,13.3,72,98.86,98.73,
성균관대,2024,학생부교과,학생부교과(학교장추천),글로벌경제학과,10,8.5,41,98.70,98.50,
성균관대,2024,학생부교과,학생부교과(학교장추천),글로벌리더학부,10,9.3,50,99.10,98.89,
성균관대,2024,학생부교과,학생부교과(학교장추천),글로벌융합학부,10,13.9,26,99.03,98.99,
성균관대,2024,학생부교과,학생부교과(학교장추천),사학과,12,5.1,28,98.55,98.3,
성균관대,2024,학생부교과,학생부교과(학교장추천),사회과학계열,17,10.9,96,99.24,99.14,
성균관대,2024,학생부교과,학생부교과(학교장추천),사회복지학과,20,6.7,22,98.33,98.27,
성균관대,2024,학생부교과,학생부교과(학교장추천),사회학과,20,6.3,54,98.96,98.82,
성균관대,2024,학생부교과,학생부교과(학교장추천),수학교육과,5,8.0,13,99.41,99.19,
성균관대,2024,학생부교과,학생부교과(학교장추천),심리학과,12,5.1,15,97.55,95.50,
성균관대,2024,학생부교과,학생부교과(학교장추천),아동청소년학과,20,5.1,25,98.48,98.33,
성균관대,2024,학생부교과,학생부교과(학교장추천),인문과학계열,17,7.4,54,98.79,98.65,
성균관대,2024,학생부교과,학생부교과(학교장추천),철학과,12,6.4,19,98.47,98.43,
성균관대,2024,학생부교과,학생부교과(학교장추천),컴퓨터교육과,5,12.0,6,98.81,98.80,
성균관대,2024,학생부교과,학생부교과(학교장추천),통계학과,12,4.8,19,98.89,98.68,
